Model,Level,Exp No,Sparsity,Fiedler
mnist_lenet_50_30,0,0,1.0,1.3166752564569286
mnist_lenet_50_30,0,1,1.0,1.3166752564569286
mnist_lenet_50_30,0,2,1.0,1.3166752564569286
mnist_lenet_50_30,0,3,1.0,1.3166752564569286
mnist_lenet_50_30,0,4,1.0,1.3166752564569286
mnist_lenet_50_30,1,0,0.7999756097560976,(0.7848458493719972+0j)
mnist_lenet_50_30,1,1,0.7999756097560976,(0.7486009141084181+0j)
mnist_lenet_50_30,1,2,0.7999756097560976,(0.7041510713962829+0j)
mnist_lenet_50_30,1,3,0.7999756097560976,(0.6867906627396808+0j)
mnist_lenet_50_30,1,4,0.7999756097560976,(0.6755239517115426+0j)
mnist_lenet_50_30,2,0,0.6399512195121951,(0.3588500233173542+0j)
mnist_lenet_50_30,2,1,0.6399512195121951,(0.2873127336454411+0j)
mnist_lenet_50_30,2,2,0.6399512195121951,(0.384573824267143+0j)
mnist_lenet_50_30,2,3,0.6399512195121951,(0.34022892732954285+0j)
mnist_lenet_50_30,2,4,0.6399512195121951,(0.3349348862130581+0j)
mnist_lenet_50_30,3,0,0.5119268292682927,(0.14842939812466172+0j)
mnist_lenet_50_30,3,1,0.5119268292682927,(0.16894680015827296+0j)
mnist_lenet_50_30,3,2,0.5119268292682927,(0.14262909925857592+0j)
mnist_lenet_50_30,3,3,0.5119268292682927,(0.1896301175925994+0j)
mnist_lenet_50_30,3,4,0.5119268292682927,(0.1509983962444266+0j)
mnist_lenet_50_30,4,0,0.4095121951219512,(0.03544252136439388+0j)
mnist_lenet_50_30,4,1,0.4095121951219512,(0.04616775226170366+0j)
mnist_lenet_50_30,4,2,0.4095121951219512,(0.04048939182602912+0j)
mnist_lenet_50_30,4,3,0.4095121951219512,(0.00015291690967586188+0j)
mnist_lenet_50_30,4,4,0.4095121951219512,(0.04070737095878387+0j)
mnist_lenet_50_30,5,0,0.32758536585365855,0j
mnist_lenet_50_30,5,1,0.32758536585365855,0j
mnist_lenet_50_30,5,2,0.32758536585365855,0j
mnist_lenet_50_30,5,3,0.32758536585365855,0j
mnist_lenet_50_30,5,4,0.32758536585365855,0j
mnist_lenet_50_30,6,0,0.26202439024390245,0j
mnist_lenet_50_30,6,1,0.26202439024390245,0j
mnist_lenet_50_30,6,2,0.26202439024390245,0j
mnist_lenet_50_30,6,3,0.26202439024390245,0j
mnist_lenet_50_30,6,4,0.26202439024390245,0j
mnist_lenet_50_30,7,0,0.20958536585365853,0j
mnist_lenet_50_30,7,1,0.20958536585365853,0j
mnist_lenet_50_30,7,2,0.20958536585365853,0j
mnist_lenet_50_30,7,3,0.20958536585365853,0j
mnist_lenet_50_30,7,4,0.20958536585365853,0j
mnist_lenet_50_30,8,0,0.16763414634146342,0j
mnist_lenet_50_30,8,1,0.16763414634146342,0.0
mnist_lenet_50_30,8,2,0.16763414634146342,0j
mnist_lenet_50_30,8,3,0.16763414634146342,0.0
mnist_lenet_50_30,8,4,0.16763414634146342,0.0
mnist_lenet_50_30,9,0,0.13407317073170733,0.0
mnist_lenet_50_30,9,1,0.13407317073170733,0.0
mnist_lenet_50_30,9,2,0.13407317073170733,0.0
mnist_lenet_50_30,9,3,0.13407317073170733,0.0
mnist_lenet_50_30,9,4,0.13407317073170733,0.0
mnist_lenet_50_30,10,0,0.10721951219512195,0.0
mnist_lenet_50_30,10,1,0.10721951219512195,0.0
mnist_lenet_50_30,10,2,0.10721951219512195,0.0
mnist_lenet_50_30,10,3,0.10721951219512195,0.0
mnist_lenet_50_30,10,4,0.10721951219512195,0.0
mnist_lenet_50_30,11,0,0.08573170731707318,0.0
mnist_lenet_50_30,11,1,0.08573170731707318,0.0
mnist_lenet_50_30,11,2,0.08573170731707318,0.0
mnist_lenet_50_30,11,3,0.08573170731707318,0.0
mnist_lenet_50_30,11,4,0.08573170731707318,0.0
mnist_lenet_50_30,12,0,0.0685609756097561,0.0
mnist_lenet_50_30,12,1,0.0685609756097561,0.0
mnist_lenet_50_30,12,2,0.0685609756097561,0.0
mnist_lenet_50_30,12,3,0.0685609756097561,0.0
mnist_lenet_50_30,12,4,0.0685609756097561,0.0
mnist_lenet_50_30,13,0,0.05480487804878049,0.0
mnist_lenet_50_30,13,1,0.05480487804878049,0.0
mnist_lenet_50_30,13,2,0.05480487804878049,0.0
