Model,Level,Sparsity,Fiedler
mnist_lenet_100_50,0,1.0,3.166131107632906
mnist_lenet_100_50,1,0.7999880810488676,2.703791070049922
mnist_lenet_100_50,2,0.6399761620977354,2.0529917921763197
mnist_lenet_100_50,3,0.5119666269368296,1.6601160297705428
mnist_lenet_100_50,4,0.40955899880810487,1.4078246810183541
mnist_lenet_100_50,5,0.32762812872467223,0.8316414046730634
mnist_lenet_100_50,6,0.26208581644815254,0.456112501837181
mnist_lenet_100_50,7,0.2096543504171633,0.3193985643855993
mnist_lenet_100_50,8,0.16771156138259832,0.2906968313632734
mnist_lenet_100_50,9,0.13414779499404053,0.08450631044539346
mnist_lenet_100_50,10,0.10730631704410012,0j
mnist_lenet_100_50,11,0.08582836710369487,0j
mnist_lenet_100_50,12,0.06864123957091776,0j
mnist_lenet_100_50,13,0.05489868891537545,0j
mnist_lenet_100_50,14,0.043897497020262216,0j
mnist_lenet_100_50,15,0.035101311084624554,0j
mnist_lenet_100_50,16,0.02806912991656734,0j
mnist_lenet_100_50,17,0.022443384982121572,0.0
mnist_lenet_100_50,18,0.017938021454112038,0j
mnist_lenet_100_50,19,0.01433849821215733,0.0
mnist_lenet_100_50,20,0.011454112038140644,0.0
